City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
297,mariental,2,NA,1616048187,30,-24.6333,17.9667,70.32,5.06
298,gerash,0,IR,1616048188,31,27.6652,54.1371,78.8,3.51
299,marion,90,US,1616048188,94,39.7684,-86.1555,55.4,5.75
300,baghdad,0,IQ,1616048189,42,33.3406,44.4009,66.2,16.11
301,atambua,90,ID,1616048189,64,-9.1061,124.8925,82.42,3.96
302,tuatapere,1,NZ,1616048190,74,-46.1333,167.6833,57,7
303,moosomin,0,CA,1616048190,80,50.1333,-101.6677,28.87,6.58
304,farmington,1,US,1616048191,60,36.7281,-108.2187,37.4,5.75
305,scalea,90,IT,1616048191,94,39.813,15.7956,37,10.04
306,west bay,0,KY,1616048191,78,19.3667,-81.4167,78.01,1.01
307,matagami,90,CA,1616048192,93,49.7502,-77.6328,24.8,19.57
308,mahebourg,40,MU,1616048192,61,-20.4081,57.7,84.2,9.22
309,gummidipundi,40,IN,1616048193,45,13.4,80.15,89.6,6.91
310,yarim,92,YE,1616048193,13,14.298,44.3779,61.7,2.93
311,srednekolymsk,56,RU,1616048194,84,67.45,153.6833,3.43,2.37
312,pisco,0,PE,1616048194,73,-13.7,-76.2167,69.8,10.36
313,hofn,34,IS,1616048195,69,64.2539,-15.2082,47.17,6.49
314,kupang,75,ID,1616048195,89,-10.1667,123.5833,82.4,6.91
315,khrebtovaya,100,RU,1616047935,95,56.7032,104.2494,19.96,6.2
316,cidreira,39,BR,1616048196,87,-30.1811,-50.2056,70.74,10.54
317,itaituba,100,BR,1616048196,99,-4.2761,-55.9836,73.44,2.17
318,uribia,46,CO,1616048196,74,11.7139,-72.266,78.03,16.62
319,norrtalje,0,SE,1616048197,80,59.758,18.705,30,6.91
320,lata,13,PT,1616048198,47,40.1629,-8.3327,55,15.01
321,farah,36,AF,1616048000,14,32.5,62.5,77.29,2.95
322,port blair,20,IN,1616048123,74,11.6667,92.75,86,10.36
323,shakiso,99,ET,1616048199,73,5.75,38.9167,67.15,5.39
324,tuensang,0,IN,1616048199,24,26.2833,94.8333,86.23,3.94
325,caapucu,0,PY,1616048200,84,-26.2167,-57.2,63.61,5.53
326,sobolevo,100,RU,1616048200,96,54.4299,31.8996,31.87,8.48
327,vernon,100,CA,1616047944,60,50.2581,-119.2691,41,5.75
328,hamilton,90,US,1616048201,100,39.1834,-84.5333,55.99,5.75
329,abay,0,KZ,1616048201,62,49.6311,72.8539,12.2,4.47
330,saint-joseph,0,RE,1616048202,58,-21.3667,55.6167,84.2,19.57
331,zemio,100,CF,1616048202,91,5.0314,25.1361,70.72,6.02
332,katsuura,20,JP,1616048131,44,35.1333,140.3,64.99,10.36
333,jalu,1,LY,1616048203,63,29.0331,21.5482,53.96,4.54
334,veraval,17,IN,1616048203,39,20.9,70.3667,87.1,10.42
335,ranong,40,TH,1616048204,55,9.9658,98.6348,89.6,9.22
336,halifax,89,CA,1616048152,93,44.6453,-63.5724,33.8,5.75
337,ola,0,RU,1616048204,66,59.5833,151.2833,17.56,4.63
338,saskylakh,98,RU,1616048205,87,71.9167,114.0833,-15.57,9.01
339,do gonbadan,40,IR,1616048205,46,30.3586,50.7981,73.4,7.02
340,kadur,92,IN,1616048206,19,13.5533,76.0131,89.83,10.13
341,dali,0,CN,1616048206,26,25.7,100.1833,73.22,9.62
342,kodyma,100,UA,1616048206,88,48.0988,29.1246,35.01,14.65
343,albanel,100,CA,1616048207,75,48.8832,-72.4487,33.8,2.3
344,skjervoy,75,NO,1616048207,64,70.0311,20.9714,28.4,6.91
345,tautira,40,PF,1616048208,78,-17.7333,-149.15,82,3.44
346,san jose,90,US,1616048004,58,37.3394,-121.895,51.8,6.91
347,nelson bay,75,AU,1616048208,100,-32.7167,152.15,66.2,6.91
348,vostok,94,RU,1616048209,87,46.4856,135.8833,26.92,9.35
349,fortuna,1,US,1616047975,66,40.5982,-124.1573,48.99,19.57
350,baykit,100,RU,1616048210,87,61.67,96.37,22.35,10.92
351,sao gabriel da cachoeira,100,BR,1616048210,99,-0.1303,-67.0892,70.5,1.28
352,virginia beach,90,US,1616047960,93,36.8529,-75.978,48.99,4.65
